trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
305_20121001,6:42,6:42,San Francisco,6,,,
221_20121001,6:43,6:43,Morgan Hill,3,,,
206_20121001,6:44,6:44,San Carlos,7,,,
208_20121001,6:44,6:44,San Bruno,5,,,
210_20121001,6:44,6:44,San Francisco,1,,,
207_20121001,6:45,6:45,Redwood City,11,,,
211_20121001,6:45,6:45,Menlo Park,5,,,
309_20121001,6:45,6:45,Millbrae,7,,,
313_20121001,6:45,6:45,San Jose,1,,,
104_20121001,6:47,6:47,Santa Clara,21,,,
208_20121001,6:48,6:48,Millbrae,6,,,
206_20121001,6:49,6:49,Redwood City,8,,,
210_20121001,6:49,6:49,22nd Street,2,,,
217_20121001,6:49,6:49,Tamien,6,,,
215_20121001,6:50,6:50,San Jose,1,,,
207_20121001,6:51,6:51,Hillsdale,12,,,
211_20121001,6:51,6:51,Redwood City,6,,,
208_20121001,6:52,6:52,Burlingame,7,,,
206_20121001,6:54,6:54,Menlo Park,9,,,
208_20121001,6:55,6:55,San Mateo,8,,,
211_20121001,6:55,6:55,San Carlos,7,,,
104_20121001,6:56,6:56,San Jose,22,,,
221_20121001,6:56,6:56,Blossom Hill,4,,,
319_20121001,6:56,6:56,Tamien,1,,,
206_20121001,6:57,6:57,Palo Alto,10,,,
217_20121001,6:57,6:57,San Jose,7,,,
312_20121001,6:57,6:57,San Francisco,1,,,
313_20121001,6:57,6:57,Mountain View,2,,,
208_20121001,6:58,6:58,Hayward Park,9,,,
211_20121001,6:58,6:58,Belmont,8,,,
207_20121001,6:59,6:59,Millbrae,13,,,
215_20121001,7:00,7:00,Sunnyvale,2,,,
421_20121001,7:00,7:00,San Jose,1,,,
206_20121001,7:01,7:01,California Ave,11,,,
208_20121001,7:01,7:01,Hillsdale,10,,,
210_20121001,7:01,7:01,Millbrae,3,,,
211_20121001,7:02,7:02,Hillsdale,9,,,
217_20121001,7:02,7:02,Santa Clara,8,,,
221_20121001,7:02,7:02,Capitol,5,,,
309_20121001,7:02,7:02,San Francisco,8,,,
312_20121001,7:02,7:02,22nd Street,2,,,
104_20121001,7:03,7:03,Tamien,23,,,
319_20121001,7:03,7:03,San Jose,2,,,
208_20121001,7:04,7:04,Belmont,11,,,
207_20121001,7:05,7:05,So. San Francisco,14,,,
211_20121001,7:05,7:05,Hayward Park,10,,,
215_20121001,7:05,7:05,Mountain View,3,,,
227_20121001,7:05,7:05,Gilroy,1,,,
313_20121001,7:05,7:05,Palo Alto,3,,,
421_20121001,7:05,7:05,Santa Clara,2,,,
206_20121001,7:07,7:07,Mountain View,12,,,
208_20121001,7:07,7:07,San Carlos,12,,,
210_20121001,7:07,7:07,San Mateo,4,,,
211_20121001,7:08,7:08,San Mateo,11,,,
221_20121001,7:10,7:10,Tamien,6,,,
421_20121001,7:10,7:10,Lawrence,3,,,
211_20121001,7:11,7:11,Burlingame,12,,,
215_20121001,7:11,7:11,California Ave,4,,,
206_20121001,7:12,7:12,Lawrence,13,,,
208_20121001,7:12,7:12,Redwood City,13,,,
217_20121001,7:12,7:12,Lawrence,9,,,
210_20121001,7:13,7:13,San Carlos,5,,,
319_20121001,7:13,7:13,Sunnyvale,3,,,
227_20121001,7:14,7:14,San Martin,2,,,
314_20121001,7:14,7:14,San Francisco,1,,,
421_20121001,7:14,7:14,Sunnyvale,4,,,
312_20121001,7:15,7:15,Millbrae,3,,,
215_20121001,7:16,7:16,Palo Alto,5,,,
313_20121001,7:16,7:16,Hillsdale,4,,,
