trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
134_20121001,10:38:00,10:38:00,San Jose,22,,,
135_20121001,9:10:00,9:10:00,San Jose,1,,,
135_20121001,9:15:00,9:15:00,Santa Clara,2,,,
135_20121001,9:20:00,9:20:00,Lawrence,3,,,
135_20121001,9:24:00,9:24:00,Sunnyvale,4,,,
135_20121001,9:29:00,9:29:00,Mountain View,5,,,
135_20121001,9:33:00,9:33:00,San Antonio,6,,,
135_20121001,9:37:00,9:37:00,California Ave,7,,,
135_20121001,9:41:00,9:41:00,Palo Alto,8,,,
135_20121001,9:44:00,9:44:00,Menlo Park,9,,,
135_20121001,9:49:00,9:49:00,Redwood City,10,,,
135_20121001,9:53:00,9:53:00,San Carlos,11,,,
135_20121001,9:56:00,9:56:00,Belmont,12,,,
135_20121001,9:59:00,9:59:00,Hillsdale,13,,,
135_20121001,10:02:00,10:02:00,Hayward Park,14,,,
135_20121001,10:05:00,10:05:00,San Mateo,15,,,
135_20121001,10:08:00,10:08:00,Burlingame,16,,,
135_20121001,10:13:00,10:13:00,Millbrae,17,,,
135_20121001,10:17:00,10:17:00,San Bruno,18,,,
135_20121001,10:21:00,10:21:00,So. San Francisco,19,,,
135_20121001,10:27:00,10:27:00,Bayshore,20,,,
135_20121001,10:32:00,10:32:00,22nd Street,21,,,
135_20121001,10:41:00,10:41:00,San Francisco,22,,,
138_20121001,10:07:00,10:07:00,San Francisco,1,,,
138_20121001,10:12:00,10:12:00,22nd Street,2,,,
138_20121001,10:17:00,10:17:00,Bayshore,3,,,
138_20121001,10:23:00,10:23:00,So. San Francisco,4,,,
138_20121001,10:27:00,10:27:00,San Bruno,5,,,
138_20121001,10:31:00,10:31:00,Millbrae,6,,,
138_20121001,10:35:00,10:35:00,Burlingame,7,,,
138_20121001,10:38:00,10:38:00,San Mateo,8,,,
138_20121001,10:41:00,10:41:00,Hayward Park,9,,,
138_20121001,10:44:00,10:44:00,Hillsdale,10,,,
138_20121001,10:47:00,10:47:00,Belmont,11,,,
138_20121001,10:50:00,10:50:00,San Carlos,12,,,
138_20121001,10:55:00,10:55:00,Redwood City,13,,,
138_20121001,11:00:00,11:00:00,Menlo Park,14,,,
138_20121001,11:03:00,11:03:00,Palo Alto,15,,,
138_20121001,11:07:00,11:07:00,California Ave,16,,,
138_20121001,11:11:00,11:11:00,San Antonio,17,,,
138_20121001,11:15:00,11:15:00,Mountain View,18,,,
138_20121001,11:20:00,11:20:00,Sunnyvale,19,,,
138_20121001,11:24:00,11:24:00,Lawrence,20,,,
138_20121001,11:29:00,11:29:00,Santa Clara,21,,,
138_20121001,11:38:00,11:38:00,San Jose,22,,,
139_20121001,10:10:00,10:10:00,San Jose,1,,,
139_20121001,10:15:00,10:15:00,Santa Clara,2,,,
139_20121001,10:20:00,10:20:00,Lawrence,3,,,
139_20121001,10:24:00,10:24:00,Sunnyvale,4,,,
139_20121001,10:29:00,10:29:00,Mountain View,5,,,
139_20121001,10:33:00,10:33:00,San Antonio,6,,,
139_20121001,10:37:00,10:37:00,California Ave,7,,,
139_20121001,10:41:00,10:41:00,Palo Alto,8,,,
139_20121001,10:44:00,10:44:00,Menlo Park,9,,,
139_20121001,10:49:00,10:49:00,Redwood City,10,,,
139_20121001,10:53:00,10:53:00,San Carlos,11,,,
139_20121001,10:56:00,10:56:00,Belmont,12,,,
139_20121001,10:59:00,10:59:00,Hillsdale,13,,,
139_20121001,11:02:00,11:02:00,Hayward Park,14,,,
139_20121001,11:05:00,11:05:00,San Mateo,15,,,
139_20121001,11:08:00,11:08:00,Burlingame,16,,,
139_20121001,11:13:00,11:13:00,Millbrae,17,,,
139_20121001,11:17:00,11:17:00,San Bruno,18,,,
139_20121001,11:21:00,11:21:00,So. San Francisco,19,,,
139_20121001,11:27:00,11:27:00,Bayshore,20,,,
139_20121001,11:32:00,11:32:00,22nd Street,21,,,
139_20121001,11:41:00,11:41:00,San Francisco,22,,,
142_20121001,11:07:00,11:07:00,San Francisco,1,,,
142_20121001,11:12:00,11:12:00,22nd Street,2,,,
142_20121001,11:17:00,11:17:00,Bayshore,3,,,
142_20121001,11:23:00,11:23:00,So. San Francisco,4,,,
142_20121001,11:27:00,11:27:00,San Bruno,5,,,
142_20121001,11:31:00,11:31:00,Millbrae,6,,,
142_20121001,11:35:00,11:35:00,Burlingame,7,,,
142_20121001,11:38:00,11:38:00,San Mateo,8,,,
142_20121001,11:41:00,11:41:00,Hayward Park,9,,,
142_20121001,11:44:00,11:44:00,Hillsdale,10,,,
142_20121001,11:47:00,11:47:00,Belmont,11,,,
142_20121001,11:50:00,11:50:00,San Carlos,12,,,
142_20121001,11:55:00,11:55:00,Redwood City,13,,,
142_20121001,12:00:00,12:00:00,Menlo Park,14,,,
142_20121001,12:03:00,12:03:00,Palo Alto,15,,,
142_20121001,12:07:00,12:07:00,California Ave,16,,,
142_20121001,12:11:00,12:11:00,San Antonio,17,,,
142_20121001,12:15:00,12:15:00,Mountain View,18,,,
142_20121001,12:20:00,12:20:00,Sunnyvale,19,,,
142_20121001,12:24:00,12:24:00,Lawrence,20,,,
142_20121001,12:29:00,12:29:00,Santa Clara,21,,,
142_20121001,12:38:00,12:38:00,San Jose,22,,,
143_20121001,11:10:00,11:10:00,San Jose,1,,,
143_20121001,11:15:00,11:15:00,Santa Clara,2,,,
143_20121001,11:20:00,11:20:00,Lawrence,3,,,
143_20121001,11:24:00,11:24:00,Sunnyvale,4,,,
143_20121001,11:29:00,11:29:00,Mountain View,5,,,
143_20121001,11:33:00,11:33:00,San Antonio,6,,,
143_20121001,11:37:00,11:37:00,California Ave,7,,,
143_20121001,11:41:00,11:41:00,Palo Alto,8,,,
143_20121001,11:44:00,11:44:00,Menlo Park,9,,,
143_20121001,11:49:00,11:49:00,Redwood City,10,,,
143_20121001,11:53:00,11:53:00,San Carlos,11,,,
143_20121001,11:56:00,11:56:00,Belmont,12,,,
143_20121001,11:59:00,11:59:00,Hillsdale,13,,,
143_20121001,12:02:00,12:02:00,Hayward Park,14,,,
143_20121001,12:05:00,12:05:00,San Mateo,15,,,
143_20121001,12:08:00,12:08:00,Burlingame,16,,,
143_20121001,12:13:00,12:13:00,Millbrae,17,,,
143_20121001,12:17:00,12:17:00,San Bruno,18,,,
143_20121001,12:21:00,12:21:00,So. San Francisco,19,,,
143_20121001,12:27:00,12:27:00,Bayshore,20,,,
143_20121001,12:32:00,12:32:00,22nd Street,21,,,
143_20121001,12:41:00,12:41:00,San Francisco,22,,,
146_20121001,12:07:00,12:07:00,San Francisco,1,,,
146_20121001,12:12:00,12:12:00,22nd Street,2,,,
146_20121001,12:17:00,12:17:00,Bayshore,3,,,
146_20121001,12:23:00,12:23:00,So. San Francisco,4,,,
146_20121001,12:27:00,12:27:00,San Bruno,5,,,
146_20121001,12:31:00,12:31:00,Millbrae,6,,,
146_20121001,12:35:00,12:35:00,Burlingame,7,,,
146_20121001,12:38:00,12:38:00,San Mateo,8,,,
146_20121001,12:41:00,12:41:00,Hayward Park,9,,,
146_20121001,12:44:00,12:44:00,Hillsdale,10,,,
146_20121001,12:47:00,12:47:00,Belmont,11,,,
146_20121001,12:50:00,12:50:00,San Carlos,12,,,
146_20121001,12:55:00,12:55:00,Redwood City,13,,,
146_20121001,13:00:00,13:00:00,Menlo Park,14,,,
146_20121001,13:03:00,13:03:00,Palo Alto,15,,,
146_20121001,13:07:00,13:07:00,California Ave,16,,,
146_20121001,13:11:00,13:11:00,San Antonio,17,,,
146_20121001,13:15:00,13:15:00,Mountain View,18,,,
146_20121001,13:20:00,13:20:00,Sunnyvale,19,,,
146_20121001,13:24:00,13:24:00,Lawrence,20,,,
146_20121001,13:29:00,13:29:00,Santa Clara,21,,,
146_20121001,13:38:00,13:38:00,San Jose,22,,,
147_20121001,12:10:00,12:10:00,San Jose,1,,,
147_20121001,12:15:00,12:15:00,Santa Clara,2,,,
147_20121001,12:20:00,12:20:00,Lawrence,3,,,
147_20121001,12:24:00,12:24:00,Sunnyvale,4,,,
147_20121001,12:29:00,12:29:00,Mountain View,5,,,
147_20121001,12:33:00,12:33:00,San Antonio,6,,,
147_20121001,12:37:00,12:37:00,California Ave,7,,,
147_20121001,12:41:00,12:41:00,Palo Alto,8,,,
147_20121001,12:44:00,12:44:00,Menlo Park,9,,,
147_20121001,12:49:00,12:49:00,Redwood City,10,,,
147_20121001,12:53:00,12:53:00,San Carlos,11,,,
147_20121001,12:56:00,12:56:00,Belmont,12,,,
147_20121001,12:59:00,12:59:00,Hillsdale,13,,,
147_20121001,13:02:00,13:02:00,Hayward Park,14,,,
147_20121001,13:05:00,13:05:00,San Mateo,15,,,
147_20121001,13:08:00,13:08:00,Burlingame,16,,,
147_20121001,13:13:00,13:13:00,Millbrae,17,,,
147_20121001,13:17:00,13:17:00,San Bruno,18,,,
147_20121001,13:21:00,13:21:00,So. San Francisco,19,,,
147_20121001,13:27:00,13:27:00,Bayshore,20,,,
147_20121001,13:32:00,13:32:00,22nd Street,21,,,
147_20121001,13:41:00,13:41:00,San Francisco,22,,,
150_20121001,13:07:00,13:07:00,San Francisco,1,,,
150_20121001,13:12:00,13:12:00,22nd Street,2,,,
150_20121001,13:17:00,13:17:00,Bayshore,3,,,
150_20121001,13:23:00,13:23:00,So. San Francisco,4,,,
150_20121001,13:27:00,13:27:00,San Bruno,5,,,
150_20121001,13:31:00,13:31:00,Millbrae,6,,,
150_20121001,13:35:00,13:35:00,Burlingame,7,,,
150_20121001,13:38:00,13:38:00,San Mateo,8,,,
150_20121001,13:41:00,13:41:00,Hayward Park,9,,,
150_20121001,13:44:00,13:44:00,Hillsdale,10,,,
150_20121001,13:47:00,13:47:00,Belmont,11,,,
150_20121001,13:50:00,13:50:00,San Carlos,12,,,
150_20121001,13:55:00,13:55:00,Redwood City,13,,,
150_20121001,14:00:00,14:00:00,Menlo Park,14,,,
150_20121001,14:03:00,14:03:00,Palo Alto,15,,,
150_20121001,14:07:00,14:07:00,California Ave,16,,,
150_20121001,14:11:00,14:11:00,San Antonio,17,,,
150_20121001,14:15:00,14:15:00,Mountain View,18,,,
150_20121001,14:20:00,14:20:00,Sunnyvale,19,,,
150_20121001,14:24:00,14:24:00,Lawrence,20,,,
150_20121001,14:29:00,14:29:00,Santa Clara,21,,,
150_20121001,14:38:00,14:38:00,San Jose,22,,,
151_20121001,13:10:00,13:10:00,San Jose,1,,,
151_20121001,13:15:00,13:15:00,Santa Clara,2,,,
151_20121001,13:20:00,13:20:00,Lawrence,3,,,
151_20121001,13:24:00,13:24:00,Sunnyvale,4,,,
151_20121001,13:29:00,13:29:00,Mountain View,5,,,
151_20121001,13:33:00,13:33:00,San Antonio,6,,,
151_20121001,13:37:00,13:37:00,California Ave,7,,,
151_20121001,13:41:00,13:41:00,Palo Alto,8,,,
151_20121001,13:44:00,13:44:00,Menlo Park,9,,,
151_20121001,13:49:00,13:49:00,Redwood City,10,,,
151_20121001,13:53:00,13:53:00,San Carlos,11,,,
151_20121001,13:56:00,13:56:00,Belmont,12,,,
151_20121001,13:59:00,13:59:00,Hillsdale,13,,,
151_20121001,14:02:00,14:02:00,Hayward Park,14,,,
151_20121001,14:05:00,14:05:00,San Mateo,15,,,
151_20121001,14:08:00,14:08:00,Burlingame,16,,,
151_20121001,14:13:00,14:13:00,Millbrae,17,,,
151_20121001,14:17:00,14:17:00,San Bruno,18,,,
151_20121001,14:21:00,14:21:00,So. San Francisco,19,,,
151_20121001,14:27:00,14:27:00,Bayshore,20,,,
151_20121001,14:32:00,14:32:00,22nd Street,21,,,
151_20121001,14:41:00,14:41:00,San Francisco,22,,,
152_20121001,14:07:00,14:07:00,San Francisco,1,,,
152_20121001,14:12:00,14:12:00,22nd Street,2,,,
152_20121001,14:17:00,14:17:00,Bayshore,3,,,
152_20121001,14:23:00,14:23:00,So. San Francisco,4,,,
152_20121001,14:27:00,14:27:00,San Bruno,5,,,
152_20121001,14:31:00,14:31:00,Millbrae,6,,,
152_20121001,14:35:00,14:35:00,Burlingame,7,,,
152_20121001,14:38:00,14:38:00,San Mateo,8,,,
152_20121001,14:41:00,14:41:00,Hayward Park,9,,,
152_20121001,14:44:00,14:44:00,Hillsdale,10,,,
152_20121001,14:47:00,14:47:00,Belmont,11,,,
152_20121001,14:50:00,14:50:00,San Carlos,12,,,
152_20121001,14:55:00,14:55:00,Redwood City,13,,,
152_20121001,15:00:00,15:00:00,Menlo Park,14,,,
152_20121001,15:03:00,15:03:00,Palo Alto,15,,,
152_20121001,15:07:00,15:07:00,California Ave,16,,,
152_20121001,15:11:00,15:11:00,San Antonio,17,,,
152_20121001,15:15:00,15:15:00,Mountain View,18,,,
152_20121001,15:20:00,15:20:00,Sunnyvale,19,,,
152_20121001,15:24:00,15:24:00,Lawrence,20,,,
152_20121001,15:29:00,15:29:00,Santa Clara,21,,,
152_20121001,15:38:00,15:38:00,San Jose,22,,,
155_20121001,14:10:00,14:10:00,San Jose,1,,,
155_20121001,14:15:00,14:15:00,Santa Clara,2,,,
155_20121001,14:20:00,14:20:00,Lawrence,3,,,
155_20121001,14:24:00,14:24:00,Sunnyvale,4,,,
155_20121001,14:29:00,14:29:00,Mountain View,5,,,
155_20121001,14:33:00,14:33:00,San Antonio,6,,,
155_20121001,14:37:00,14:37:00,California Ave,7,,,
155_20121001,14:41:00,14:41:00,Palo Alto,8,,,
155_20121001,14:44:00,14:44:00,Menlo Park,9,,,
155_20121001,14:49:00,14:49:00,Redwood City,10,,,
155_20121001,14:53:00,14:53:00,San Carlos,11,,,
155_20121001,14:56:00,14:56:00,Belmont,12,,,
155_20121001,14:59:00,14:59:00,Hillsdale,13,,,
155_20121001,15:02:00,15:02:00,Hayward Park,14,,,
155_20121001,15:05:00,15:05:00,San Mateo,15,,,
155_20121001,15:08:00,15:08:00,Burlingame,16,,,
155_20121001,15:13:00,15:13:00,Millbrae,17,,,
155_20121001,15:17:00,15:17:00,San Bruno,18,,,
155_20121001,15:21:00,15:21:00,So. San Francisco,19,,,
155_20121001,15:27:00,15:27:00,Bayshore,20,,,
155_20121001,15:32:00,15:32:00,22nd Street,21,,,
155_20121001,15:41:00,15:41:00,San Francisco,22,,,
156_20121001,15:07:00,15:07:00,San Francisco,1,,,
156_20121001,15:12:00,15:12:00,22nd Street,2,,,
156_20121001,15:17:00,15:17:00,Bayshore,3,,,
156_20121001,15:23:00,15:23:00,So. San Francisco,4,,,
156_20121001,15:27:00,15:27:00,San Bruno,5,,,
156_20121001,15:31:00,15:31:00,Millbrae,6,,,
156_20121001,15:35:00,15:35:00,Burlingame,7,,,
156_20121001,15:38:00,15:38:00,San Mateo,8,,,
156_20121001,15:41:00,15:41:00,Hayward Park,9,,,
156_20121001,15:44:00,15:44:00,Hillsdale,10,,,
156_20121001,15:47:00,15:47:00,Belmont,11,,,
156_20121001,15:50:00,15:50:00,San Carlos,12,,,
156_20121001,15:55:00,15:55:00,Redwood City,13,,,
156_20121001,16:00:00,16:00:00,Menlo Park,14,,,
156_20121001,16:03:00,16:03:00,Palo Alto,15,,,
156_20121001,16:07:00,16:07:00,California Ave,16,,,
156_20121001,16:11:00,16:11:00,San Antonio,17,,,
156_20121001,16:15:00,16:15:00,Mountain View,18,,,
156_20121001,16:20:00,16:20:00,Sunnyvale,19,,,
156_20121001,16:24:00,16:24:00,Lawrence,20,,,
156_20121001,16:29:00,16:29:00,Santa Clara,21,,,
156_20121001,16:32:00,16:32:00,College Park,22,,,
156_20121001,16:39:00,16:39:00,San Jose,23,,,
156_20121001,16:45:00,16:45:00,Tamien,24,,,
156_20121001,16:52:00,16:52:00,Capitol,25,,,
156_20121001,16:58:00,16:58:00,Blossom Hill,26,,,
156_20121001,17:11:00,17:11:00,Morgan Hill,27,,,
156_20121001,17:17:00,17:17:00,San Martin,28,,,
156_20121001,17:30:00,17:30:00,Gilroy,29,,,
159_20121001,15:05:00,15:05:00,San Jose,1,,,
159_20121001,15:08:00,15:08:00,College Park,2,,,
159_20121001,15:12:00,15:12:00,Santa Clara,3,,,
159_20121001,15:17:00,15:17:00,Lawrence,4,,,
159_20121001,15:21:00,15:21:00,Sunnyvale,5,,,
159_20121001,15:26:00,15:26:00,Mountain View,6,,,
159_20121001,15:30:00,15:30:00,San Antonio,7,,,
159_20121001,15:34:00,15:34:00,California Ave,8,,,
159_20121001,15:38:00,15:38:00,Palo Alto,9,,,
159_20121001,15:41:00,15:41:00,Menlo Park,10,,,
159_20121001,15:46:00,15:46:00,Redwood City,11,,,
159_20121001,15:50:00,15:50:00,San Carlos,12,,,
159_20121001,15:53:00,15:53:00,Belmont,13,,,
159_20121001,15:56:00,15:56:00,Hillsdale,14,,,
159_20121001,15:59:00,15:59:00,Hayward Park,15,,,
159_20121001,16:02:00,16:02:00,San Mateo,16,,,
159_20121001,16:05:00,16:05:00,Burlingame,17,,,
159_20121001,16:10:00,16:10:00,Millbrae,18,,,
159_20121001,16:14:00,16:14:00,San Bruno,19,,,
159_20121001,16:18:00,16:18:00,So. San Francisco,20,,,
159_20121001,16:24:00,16:24:00,Bayshore,21,,,
159_20121001,16:29:00,16:29:00,22nd Street,22,,,
159_20121001,16:38:00,16:38:00,San Francisco,23,,,
190_20121001,19:30:00,19:30:00,San Francisco,1,,,
190_20121001,19:35:00,19:35:00,22nd Street,2,,,
190_20121001,19:40:00,19:40:00,Bayshore,3,,,
190_20121001,19:46:00,19:46:00,So. San Francisco,4,,,
190_20121001,19:50:00,19:50:00,San Bruno,5,,,
190_20121001,19:54:00,19:54:00,Millbrae,6,,,
190_20121001,19:58:00,19:58:00,Burlingame,7,,,
190_20121001,20:01:00,20:01:00,San Mateo,8,,,
190_20121001,20:04:00,20:04:00,Hayward Park,9,,,
